@relation Arquivo
@attribute "braga @diariogaucho" integer
@attribute "cacalo @diariogaucho" integer
@attribute "Copa de" integer
@attribute "time de" integer
@attribute "jogo de" integer
@attribute "não poder" integer
@attribute "de futebol" integer
@attribute "final de" integer
@attribute "depois de" integer
@attribute "antes de" integer
@attribute "De_acordo com" integer
@attribute "casa de" integer
@attribute "em Porto_Alegre" integer
@attribute "tiro em" integer
@attribute "de droga" integer
@attribute "noite de" integer
@attribute "de homicídio" integer
@attribute "manhã de" integer
@attribute "tarde de" integer
@attribute "de casa" integer
@attribute "munhoz @diariogaucho" integer
@attribute "dono de" integer
@attribute "morador de" integer
@attribute "por Tiago_Rech" integer
@attribute "prefeitura de" integer
@attribute "parte de" integer
@attribute "rede de" integer
@attribute "de lixo" integer
@attribute "baldo @diariogaucho" integer
@attribute "auxiliar de" integer
@attribute "de trabalho" integer
@attribute "técnico em" integer
@attribute "de R$" integer
@attribute "vaga em" integer
@attribute "curso de" integer
@attribute "Auxiliar de" integer
@attribute "área de" integer
@attribute classe {Esporte,Policia,ProblemaNosso,EspacoTrabalhador}
@data
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Esporte
1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Esporte
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Esporte
1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Esporte
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Esporte
0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, Esporte
1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Esporte
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, Esporte
0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Esporte
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Esporte
